Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 1, 10.0, 0
Query 2, 1, 10.0, 0
Query 3, 1, 10.0, 0
Query 4, 3, 30.0, -13.75
Query 5, 0, 0.0, 0
Query 6, 0, 0.0, 0
Query 7, 1, 10.0, 0
Query 8, 2, 20.0, -1.0
Query 9, 0, 0.0, 0
Query 10, 0, 0.0, 0
Query 11, 3, 30.0, -1.25
Query 12, 1, 10.0, 0
Query 13, 0, 0.0, 0
Query 14, 0, 0.0, 0
Query 15, 2, 20.0, 1.0
Query 16, 0, 0.0, 0
Query 17, 2, 20.0, -12.0
Query 18, 0, 0.0, 0
Query 19, 0, 0.0, 0
Query 20, 2, 20.0, -3.0
Query 21, 2, 20.0, -24.0
Query 22, 1, 10.0, 0
Query 23, 1, 10.0, 0
Query 24, 1, 10.0, 0
Query 25, 2, 20.0, -16.0
Query 26, 3, 30.0, -5.5
Query 27, 0, 0.0, 0
Query 28, 1, 10.0, 0
Query 29, 0, 0.0, 0
Query 30, 2, 20.0, -8.0
Query 31, 2, 20.0, -64.0
Query 32, 0, 0.0, 0
Query 33, 0, 0.0, 0
Query 34, 2, 20.0, -31.0
Query 35, 1, 10.0, 0
Query 36, 0, 0.0, 0
Query 37, 0, 0.0, 0
Query 38, 1, 10.0, 0
Query 39, 2, 20.0, -8.0
Query 40, 0, 0.0, 0
Query 41, 4, 40.0, -3.5999999999999996
Query 42, 1, 10.0, 1
Query 43, 2, 20.0, -36.0
Query 44, 2, 20.0, -67.0
Query 45, 1, 10.0, 0
Query 46, 2, 20.0, -39.0
Query 47, 2, 20.0, 0.0
Query 48, 0, 0.0, 0
Query 49, 2, 20.0, 0.0
Query 50, 2, 20.0, -8.0
Query 51, 2, 20.0, 1.0
Query 52, 2, 20.0, -4.0
Query 53, 5, 50.0, -1.9500000000000002
Query 54, 0, 0.0, 0
Query 55, 0, 0.0, 0
Query 56, 1, 10.0, 0
Query 57, 1, 10.0, 0
Query 58, 0, 0.0, 0
Query 59, 0, 0.0, 0
Query 60, 1, 10.0, 0
Query 61, 1, 10.0, 0
Query 62, 2, 20.0, -3.0
Query 63, 2, 20.0, -8.0
Query 64, 2, 20.0, 1.0
Query 65, 2, 20.0, -9.0
Query 66, 3, 30.0, 1.0
Query 67, 1, 10.0, 0
Query 68, 2, 20.0, -4.0
Query 69, 0, 0.0, 0
Query 70, 1, 10.0, 1
Query 71, 0, 0.0, 0
Query 72, 3, 30.0, -0.25
Query 73, 1, 10.0, 0
Query 74, 0, 0.0, 0
Query 75, 3, 30.0, -0.25
Query 76, 0, 0.0, 0
Query 77, 2, 20.0, -1.0
Query 78, 4, 40.0, -10.7
Query 79, 3, 30.0, -2.25
Query 80, 2, 20.0, -49.0
Query 81, 1, 10.0, 1
Query 82, 1, 10.0, 0
Query 83, 1, 10.0, 0
Query 84, 2, 20.0, -3.0
Query 85, 1, 10.0, 0
Query 86, 1, 10.0, 1
Query 87, 2, 20.0, -1.0
Query 88, 1, 10.0, 1
Query 89, 2, 20.0, -1.0
Query 90, 1, 10.0, 0
Query 91, 0, 0.0, 0
Query 92, 0, 0.0, 0
Query 93, 2, 20.0, -1.0
Query 94, 3, 30.0, -2.25
Query 95, 4, 40.0, -1.5
Query 96, 0, 0.0, 0
Query 97, 1, 10.0, 0
Query 98, 0, 0.0, 0
Query 99, 4, 40.0, -2.9
Query 100, 2, 20.0, -3.0
Averages, 1.33, 13.3, -4.4115
